"","V1","V2","V3","V4","V5","V6","V7"
"309",464882.274744,6.4138,4.427,1.2898,1.361,-1.7742,-11.0493
"54",464882.304895,7.3338,3.0882,3.0709,-0.1841,1.0938,-13.2717
"233",464882.335047,6.6682,0.9947,2.8407,3.2626,4.2869,-12.2637
"155",464882.365229,5.5887,-1.0751,3.4222,8.8497,5.2189,-8.8676
"210",464882.39538,3.5126,-6.046,3.029,6.3546,3.9176,-4.9937
"33",464882.425562,1.4387,-8.4658,1.6235,-0.7025,4.2083,2.1538
"359",464882.455713,1.4205,-6.1612,1.1696,-3.2626,7.2902,12.7067
"179",464882.485865,3.2529,-3.4442,1.8483,-0.0117,1.549,14.8467
"23",464882.516047,2.5591,-1.1729,1.5994,2.4609,4.3272,15.6418
"328",464882.546198,5.6629,0.2855,1.6276,1.9313,7.1577,13.0321
"231",464882.576349,6.1793,1.5614,0.8388,-5.9628,5.6403,4.8851
"127",464882.606531,3.0757,1.2263,0.5813,-10.566,3.4159,-0.8799
"288",464882.636683,0.5806,2.2068,1.4653,-17.342,1.3213,-2.8135
"302",464882.666834,-0.3744,6.665,1.6807,-8.5756,-0.1987,2.5183
"141",464882.697016,-2.1335,5.1508,-1.0212,3.2789,0.4614,0.2474
"76",464882.727167,-1.674,2.6626,-0.7179,-1.9809,0.373,-4.0255
"195",464882.757349,-1.5443,5.0301,-0.2153,-5.0802,1.772,-4.2073
"300",464882.7875,-0.1472,4.7809,-0.1042,3.5525,2.5883,-8.447
"149",464882.817652,1.9113,5.4024,0.144,3.9788,4.8593,-10.1451
"100",464882.847834,8.8295,5.5052,2.2271,4.2264,-0.9968,-12.4698
"75",464882.877985,9.2988,3.0465,4.0778,0.7577,0.6713,-14.8566
"310",464882.908136,8.3289,0.2211,2.9402,3.529,6.0238,-12.6761
"29",464882.938318,6.6012,-1.6398,4.0271,8.2298,6.7484,-9.4164
"64",464882.96847,4.1177,-6.8393,2.275,4.3557,5.5752,-5.8353
"238",464882.998652,1.9122,-9.872,0.8013,-4.0044,4.8991,3.6125
"232",464883.028803,2.2022,-5.7623,0.4926,-5.7883,5.7953,15.164
"82",464883.058954,3.2926,-1.8841,1.5028,3.3666,-0.403,15.782
"86",464883.089136,1.7705,-0.3364,1.2172,7.8797,4.7565,15.8102
"2",464883.119288,5.1308,0.0805,1.0969,1.7988,8.4012,12.0861
"253",464883.149439,6.3035,1.2277,0.978,-5.6156,5.7,4.3245
"211",464883.179621,3.3543,1.024,0.7707,-5.9982,1.1214,-1.0399
"292",464883.209772,0.6949,0.5144,0.549,-12.5415,0.1671,-3.5849
"90",464883.239917,-0.5552,1.9462,0.7157,-17.1037,0.4556,-2.2346
"6",464883.270098,-0.9635,5.1687,0.5803,-7.9737,-1.2515,0.0373
"13",464883.30025,-2.393,3.3772,-0.4622,0.853,-2.1007,-0.4658
"25",464883.330432,-3.3558,2.4793,-1.0203,1.1107,0.2769,-2.9954
"222",464883.360583,-2.2966,3.3504,-0.951,-1.86,0.5059,-4.3473
"151",464883.390734,-1.0646,4.0356,-0.3339,2.6007,0.6717,-7.1662
"311",464883.420916,0.2257,4.013,-0.0453,2.9654,3.1608,-9.0157
"304",464883.451068,5.8575,6.3821,1.5845,2.2089,3.1868,-7.5319
"27",464883.481219,7.4184,2.8998,2.9665,0.8331,0.3194,-12.3414
"63",464883.511401,6.28,0.9883,2.9609,-0.5264,2.4863,-12.481
"180",464883.541552,4.9191,-0.8664,1.9143,3.0776,5.1684,-9.377
"186",464883.571734,3.6344,-3.2489,1.644,4.8527,5.2376,-5.6842
"84",464883.601886,2.3697,-6.7216,0.6135,0.2402,4.4474,-2.3172
"114",464883.632037,1.2654,-6.5916,0.2833,-6.5133,3.9713,6.4057
"94",464883.662219,2.7303,-3.4068,1.0981,-1.2124,2.6435,13.2843
"1",464883.69237,1.9256,-1.5019,1.3887,4.3615,-1.279,12.9455
"129",464883.722521,1.5494,-0.9234,1.3603,5.2579,3.0788,14.0745
"330",464883.752703,3.8737,-0.0896,1.0143,-0.292,6.5185,10.6137
"386",464883.782855,6.5804,2.1204,0.7772,-4.7087,4.279,5.5558
"126",464883.813037,3.7676,1.6988,0.3088,-6.3911,1.1187,0.0046
"389",464883.843188,0.9594,0.8321,0.3344,-12.2973,-0.586,-3.248
"128",464883.873339,-0.5902,2.9538,0.3935,-11.1889,-0.8528,-1.7736
"322",464883.903521,-1.4015,3.6305,-0.7029,-2.8839,-2.9877,0.371
"388",464883.933673,-3.8049,1.9856,-1.6292,-0.2253,-0.7674,-0.7235
"287",464883.963824,-3.266,2.3478,-1.1678,-1.3824,-0.2713,-3.2605
"343",464883.994006,-2.3808,3.2719,-0.992,1.5632,-0.6397,-5.4371
"384",464884.024157,-1.0636,3.3358,-0.3365,2.1429,-0.2152,-7.9317
"68",464884.054309,1.7528,6.1713,-0.5296,0.9925,5.4212,-8.4655
"218",464884.08449,8.541,4.7403,2.5502,2.0979,-1.9544,-10.4764
"258",464884.114642,6.014,1.0554,2.9959,-0.836,0.7049,-11.7674
"318",464884.144824,4.7878,-0.4185,2.2315,2.114,4.14,-9.5196
"219",464884.174975,3.4213,-3.4623,2.1858,4.11,4.7594,-6.5134
"83",464884.205126,2.2863,-6.5298,1.3457,0.4814,4.949,-2.772
"270",464884.235316,1.1512,-7.0074,1.1261,-6.3087,3.7236,6.3966
"152",464884.265468,2.7866,-4.148,1.6484,-3.0933,4.6256,13.3779
"273",464884.295619,2.2666,-1.2779,1.816,2.8943,-1.0127,13.458
"45",464884.325801,3.3342,0.8965,1.4335,5.7805,5.1497,13.8628
"89",464884.355952,5.3538,1.1173,0.4,1.9563,4.9937,9.7292
"134",464884.386134,5.5711,0.9116,-0.446,-9.6391,1.5079,0.8354
"145",464884.416286,1.4243,1.0752,0.7718,-17.1911,-0.3657,-3.335
"371",464884.446437,-0.4834,1.8526,1.2046,-17.6686,-1.6607,-2.081
"159",464884.476619,-1.3052,3.5087,0.7733,-8.5194,-1.9987,-0.1252
"352",464884.50677,-2.3764,2.3226,-0.3031,-0.6677,-2.3935,-0.1512
"199",464884.536922,-3.4458,2.1788,-0.2231,2.0533,-2.1005,-0.8878
