"","V1","V2","V3","V4","V5","V6","V7"
"20",465195.136515,-0.0035,-0.142,0.2267,-0.0019,-0.0716,0.3774
"38",465195.166666,0.1142,-0.1058,0.1083,-0.1001,-0.1563,0.336
"109",465416.464155,0.0356,-0.0061,0.0748,-0.1886,0.1229,0.5081
"106",465416.494307,0.1183,0.021,0.0832,-0.2615,0.1307,0.6792
"85",465416.524488,0.1609,-0.0071,0.1079,-0.4558,0.1227,0.8992
"110",465416.55464,0.2305,-0.0173,0.1538,-0.7244,0.1967,1.2192
"33",465416.584822,0.2699,0.0529,0.1399,-0.8236,0.0912,1.583
"121",465416.614973,0.1875,-0.0104,0.2021,-1.08,0.1323,1.86
"108",465416.645155,0.1826,-0.024,0.2221,-1.3898,0.415,2.1441
"119",465416.675306,0.2661,0.0491,0.216,-1.563,0.2442,2.5907
"32",465416.705488,0.2544,-0.1163,0.4901,-2.6451,-0.1334,3.1352
"2",465416.73564,0.2892,-0.2757,0.574,-4.8553,-0.4451,4.0788
"49",465416.765791,0.3627,-0.2741,0.6847,-7.4409,-1.037,5.0101
"18",465416.795973,0.3688,0.0653,0.6156,-8.8461,-2.662,5.9567
"92",465416.82615,-0.3025,0.6503,0.2121,-7.8891,-1.8983,6.4064
"30",465416.856332,-0.4313,0.9642,-0.2607,-3.7652,-0.3237,5.3132
"67",465416.886483,-0.3555,1.2034,-0.2937,-0.6787,0.7787,3.1863
"59",465416.916665,-0.473,0.7567,0.4161,-1.6889,0.7906,1.7572
"74",465416.946817,-0.5174,0.1754,0.4264,-4.7081,1.5161,1.2742
"9",465416.976999,-0.2515,0.0017,0.1178,-5.5919,1.3003,0.9378
"28",465417.00715,-0.11,0.2806,0.0461,-3.0293,1.1961,0.8151
"8",465417.037332,0.0427,0.405,0.1929,0.2842,0.7683,0.6194
"156",465417.067483,0.0661,-0.0845,0.0706,0.2917,0.4931,0.058
"127",465417.097635,0.1301,0.1325,-0.0128,-1.0393,0.5104,0.5088
"157",465417.127816,0.1749,0.1842,0.1463,-0.6006,0.6456,-0.0725
"132",465417.157968,0.4983,-0.0975,0.2924,-2.1292,-0.1391,0.3389
"148",465417.18815,0.4702,0.1289,0.064,-1.3027,-0.0112,0.7623
"42",465417.218301,0.0063,0.1749,-0.0616,0.1581,0.0721,0.8419
"136",465417.248483,-0.1051,-0.0839,0.1352,-0.5372,0.2335,0.6828
"98",465417.278634,-0.0371,0.3465,0.0085,1.0563,0.4013,0.3107
"138",465417.308816,0.2303,-0.165,0.2239,0.1395,0.5858,0.3751
"60",465417.338968,0.0498,-0.0334,0.1034,0.4154,0.7125,0.232
"151",465417.369149,-0.008,0.0701,0.1627,0.0516,0.9059,-0.0088
"155",465417.399301,-0.0964,0.0896,0.0158,-0.3299,0.747,-0.1035
"133",465417.429452,-0.1961,0.1508,-0.2026,-0.3077,0.3166,-0.4511
"10",465417.459634,-0.2221,0.0065,0.0603,0.6819,-0.067,-0.6495
"70",465417.489785,-0.4266,-0.0128,0.2809,-0.2412,-0.1775,-0.7296
"78",465417.519967,-0.3046,0.1971,0.1875,-1.8604,-0.2542,-0.3996
"140",465417.550119,-0.076,0.2336,0.2237,-0.4703,-0.3252,-0.5192
"45",465417.580301,0.3997,-0.6299,0.2205,-0.7843,-0.4138,1.2007
"147",465417.610452,0.6222,-0.1274,0.0785,0.2268,-0.199,0.1126
"146",465417.640634,0.0288,0.2071,0.1803,1.5638,0.1745,-0.0048
"22",465417.670785,-0.1189,-0.2087,-0.0093,0.8285,-0.0634,0.1636
"135",465417.700967,0.0058,0.0462,-0.0742,0.853,-0.0569,0.1401
"40",465417.731118,0.0306,-0.0576,0.0602,1.3125,-0.0732,0.0048
"97",465417.7613,-0.0445,0.0278,0.0619,1.6397,-0.0991,-0.1875
"91",465417.791452,-0.0827,0.034,0.2204,0.6998,-0.0501,-0.1434
"153",465417.821601,-0.0595,0.0179,0.258,-0.1562,0.0691,-0.1051
"29",465417.851783,-0.0437,0.0879,0.1902,0.2711,-0.0131,-0.1031
"104",465417.881934,-0.0428,0.035,0.0179,0.1366,-0.1172,-0.0955
"118",465417.912116,-0.0652,0.0424,-0.0858,0.0803,-0.173,-0.174
"34",465417.942268,0.0248,-0.0044,-0.1229,-0.0701,-0.1018,-0.1726
"86",465417.972449,0.0892,-0.0493,-0.1108,-0.3118,0.0425,-0.02
"36",465418.002601,0.0483,0.1668,-0.1093,0.0716,0.0693,-0.1508
"41",465418.032783,0.0855,-0.1064,0.012,-0.095,0.0076,-0.0649
"54",465418.062934,0.0043,0.0177,-0.1672,0.2051,-0.0217,-0.0476
"145",465418.093116,-0.0186,-0.0942,-0.0092,0.1721,-0.0282,0.0015
"134",465418.123267,0.1455,0.0493,-0.0633,0.3598,-0.0656,0.1844
"120",465418.153449,0.0029,-0.1628,-0.079,0.0715,-0.0924,0.0886
"75",465418.183601,0.0208,0.0342,0.0017,0.3511,-0.0619,0.1234
"31",465418.213752,-0.0521,0.1698,-0.0141,0.3513,-0.0896,0.2783
"94",465418.243934,-0.0191,0.0805,-0.1696,-0.1084,-0.0579,-1e-04
"116",465418.274085,0.0561,-0.1105,-0.0744,0.0382,-0.0742,-0.0664
"6",465418.304267,0.001,-0.0062,-0.228,0.4007,-0.1576,0.0169
"139",465418.334418,0.0327,-0.0231,0.0235,0.0206,-0.1333,0.0037
"35",465418.3646,0.0335,-0.0755,0.0041,0.2952,-0.2062,0.1864
"15",465418.394752,0.0355,-0.0383,-0.0863,0.0766,-0.1226,0.1344
"50",465418.424934,-0.0259,-0.0064,-0.0316,-0.0682,-0.1145,0.1396
"113",465418.455085,-0.0243,0.1982,0.0121,-0.3743,-0.1352,0.0963
"82",465418.485267,-0.1582,0.1126,-0.0182,-0.8573,-0.0806,0.0961
"87",465418.515418,-0.1239,0.0612,-0.0814,-0.7362,-0.1846,0.0698
"53",465418.54557,-0.2208,0.0944,-0.1155,-0.2683,-0.1664,0.048
"63",465418.575751,-0.2337,0.0918,-0.0353,-0.491,-0.0251,-0.1672
"23",465418.605903,-0.1708,0.0784,0.0144,0.0012,-0.1996,-0.1348
"96",465418.636085,-0.211,0.0254,-0.1055,0.2593,-0.0809,-0.1731
"69",465418.666236,0.0943,0.121,0.091,0.3366,-0.1613,-0.0271
"112",465418.696418,-0.0789,0.107,0.0271,0.4185,-0.2458,-0.0597
"154",465418.726569,-0.2192,0.1183,-0.0537,0.3509,-0.3748,0.2847
"99",465418.756751,-0.0455,0.1195,-0.004,0.4641,-0.343,0.5653
"126",465418.786903,-0.1398,0.2524,-0.0243,0.5965,-0.2346,0.8872
"129",465418.817068,-0.2361,0.1433,-0.0559,0.6166,-0.2211,1.098
"71",465418.84722,-0.3643,0.2996,-0.1349,0.6045,0.0557,0.9097
"65",465418.877402,-0.7631,0.4471,-0.0209,0.7912,0.271,0.504
