"","V1","V2","V3","V4","V5","V6","V7"
"1",465177.0528,0.6247,0.2313,0.4195,-8.544,-2.2059,5.7187
"2",465177.0829,0.5263,0.5998,0.6548,-8.5334,-3.6804,5.1462
"3",465177.1131,0.5053,0.9335,0.9024,-9.4747,-4.15,4.1307
"4",465177.1433,0.4822,1.3107,0.8676,-7.2572,-4.137,2.9721
"5",465177.1735,0.1568,1.3085,0.7124,-3.2445,-2.4319,2.2616
"6",465177.2036,-0.1435,1.3122,0.9389,0.3834,-1.1723,2.173
"7",465177.2338,-0.5507,1.1802,1.22,1.875,-0.5093,2.2815
"8",465177.2639,-0.8861,1.3066,0.7999,1.6966,-0.2029,1.9424
"9",465177.2941,-1.2981,1.29,0.369,1.8682,-0.041,1.0453
"10",465177.3243,-1.7758,1.6931,0.4354,3.971,0.191,0.1353
"11",465177.3544,-1.5499,1.9387,0.4839,2.7657,3.3518,-2.8642
"12",465177.3846,0.2568,4.1125,0.6557,0.9861,3.8056,-6.3296
"13",465177.4148,3.0958,5.1522,1.869,0.2551,2.3269,-8.8561
"14",465177.4449,3.1538,4.5237,1.384,1.8156,5.188,-11.2853
"15",465177.4751,4.1774,2.849,1.4748,4.921,6.5237,-10.2018
"16",465177.5052,4.4964,0.1908,2.1204,7.5747,5.7577,-7.6563
"17",465177.5354,2.9808,-1.9532,3.5742,6.1941,3.638,-3.8823
"18",465177.5656,2.953,-4.3618,2.6464,5.4374,6.8942,0.1861
"19",465177.5958,1.9309,-7.5086,2.6443,-3.874,5.8539,6.2095
"20",465177.6259,2.985,-5.7945,2.3682,-8.4535,4.4902,13.6633
"21",465177.6561,3.6167,-2.3509,2.2308,-4.5803,-0.5277,17.308
"22",465177.6862,4.3138,-0.3005,1.855,0.3453,2.2274,18.7179
"23",465177.7164,6.9039,0.8644,2.7465,1.9659,9.2264,14.3699
"24",465177.7466,6.3129,2.2625,0.6008,-0.3029,11.3314,4.3158
"25",465177.7767,4.1515,1.4643,0.148,-4.648,6.2164,-2.3924
"26",465177.8069,1.6732,1.5605,-0.0754,-12.1196,2.1851,-4.4301
"27",465177.8371,0.2586,4.8878,0.1075,-14.4958,-1.1543,-0.106
"28",465177.8672,-1.8459,7.6347,-1.4073,-0.8767,-0.2982,0.2313
"29",465177.8974,-1.88,3.6109,-0.831,-1.0852,1.4492,-5.5904
"30",465177.9276,-0.48,5.1266,-0.8356,-0.4881,1.8201,-5.2372
"31",465177.9577,0.9145,4.8105,-0.5644,1.6892,2.827,-7.4612
"32",465177.9879,6.056,6.4244,1.0408,6.7661,0.0927,-10.5073
"33",465178.0181,8.4586,4.4657,2.0494,3.1444,-1.1237,-14.8068
"34",465178.0482,9.1344,3.0616,3.7926,3.1845,0.2886,-16.053
"35",465178.0784,8.2008,0.1975,4.3047,9.0638,2.7572,-13.4868
"36",465178.1085,6.1683,-2.2572,6.0827,10.0719,3.9882,-9.3552
"37",465178.1387,3.8198,-7.8328,4.4701,4.2404,5.8554,-4.449
"38",465178.1689,1.2921,-10.5192,2.6906,-5.8765,7.1908,6.726
"39",465178.199,3.2629,-5.9138,2.1037,-6.0967,6.4897,15.5648
"40",465178.2292,3.1546,-2.2799,1.9891,-3e-04,3.3164,17.3854
"41",465178.2594,7.1832,-0.3772,2.5976,2.7295,6.4306,17.0742
"42",465178.2895,7.4859,1.1917,1.8028,-3.936,8.4148,7.1174
"43",465178.3197,4.0663,-0.1045,0.4073,-8.1769,7.4946,-1.9093
"44",465178.3499,2.2292,1.7993,1.1873,-17.8135,3.1149,-4.6508
"45",465178.38,0.3245,6.4303,1.7364,-6.1027,-5.3399,0.0137
"46",465178.4102,-2.9328,4.9543,-2.087,0.4167,-1.2453,1.2281
"47",465178.4404,-1.8787,3.7429,-0.5019,-3.8906,1.5788,-5.5642
"48",465178.4705,-0.4581,5.829,-0.3928,0.3399,1.1068,-5.3783
"49",465178.5007,0.2869,4.4645,-0.5629,2.3987,1.5355,-7.1244
"50",465178.5308,2.0665,5.5891,0.2187,4.7956,3.8558,-8.794
"51",465178.561,7.7853,4.4084,1.4183,5.8921,-2.1711,-12.0923
"52",465178.5912,9.9282,2.4937,2.8079,0.7799,-1.2524,-14.8098
"53",465178.6214,8.3141,1.0484,3.5409,2.686,1.3986,-14.4164
"54",465178.6515,6.4043,-1.983,3.6389,8.9723,2.8994,-10.7937
"55",465178.6817,4.2083,-5.1079,3.2747,5.6303,3.6789,-7.3182
"56",465178.7119,2.2639,-6.4657,2.6321,0.6134,3.9425,-2.608
"57",465178.742,0.8505,-6.0332,1.3258,-5.2939,5.3194,5.9983
"58",465178.7722,2.1655,-3.7074,1.716,-4.3361,6.2786,12.3814
"59",465178.8024,2.0481,-1.4846,1.3476,0.1185,0.9147,11.7962
"60",465178.8325,1.2547,-1.0057,1.1698,2.8316,3.1731,13.1824
"61",465178.8627,4.7607,0.6222,0.1385,0.4887,5.6723,11.1103
"62",465178.8928,5.9789,1.4126,-0.0937,-4.3154,2.1377,4.9405
"63",465178.923,3.4018,1.3343,-0.1181,-7.8143,1.4885,0.21
"64",465178.9532,0.7233,1.2668,0.3523,-10.27,0.209,-2.1226
"65",465178.9834,-0.5371,2.2574,0.0252,-7.5844,-1.8048,-0.3661
"66",465179.0135,-1.7171,2.3625,-0.792,-2.627,-3.0191,1.1072
"67",465179.0437,-2.7337,1.5004,-0.9071,-2.0252,-0.8402,-0.3368
"68",465179.0738,-2.079,2.7768,-1.2348,-0.0738,-0.5002,-2.6602
"69",465179.104,-2.21,2.5679,-1.4571,2.517,-1.0858,-3.3608
"70",465179.1342,-1.6837,2.7224,-0.5808,2.8828,-1.1885,-6.0821
"71",465179.1643,-0.1966,3.5341,-0.6426,3.2112,-0.031,-7.7661
"72",465179.1945,5.3616,5.644,0.2336,2.1681,-3.0822,-5.0468
"73",465179.2247,6.6772,3.2536,1.6267,-0.1945,-3.0483,-10.2199
"74",465179.2548,5.3046,0.86,2.1095,-1.2885,-0.8067,-11.5223
"75",465179.285,3.7909,-0.997,1.8796,1.6461,2.5703,-9.8526
"76",465179.3152,2.973,-3.2267,1.8832,3.2915,3.6265,-7.2478
"77",465179.3453,2.3021,-5.3082,1.9139,0.7633,3.4043,-3.8996
"78",465179.3755,0.9351,-5.5489,1.6589,-3.6363,2.7139,4.5275
"79",465179.4057,2.3635,-4.4522,1.5489,-2.8462,5.4757,11.0874
